instance_id,error_event,manifest_include,manifest_exclusion_reason,workbook,error_type,error_subtype,cell_type,formula_count,supported_formula_count,parser_coverage,support_stratum,labeled_cell_count,labeled_formula_count,supported_source_formula_count,source_parser_coverage,intervention_scope_fraction,evaluation_ready,evaluation_exclusion_reason
enron_event_01,1,1,,workbooks/converted/01.xlsx,Quantitative,Mechanical,Formula,7,7,1.0,high,2,2,2,1.0,1.0,1,
enron_event_02,2,1,,workbooks/converted/02.xlsx,Quantitative,Mechanical,Formula,26,26,1.0,high,1,1,1,1.0,1.0,1,
enron_event_03,3,1,,workbooks/converted/03.xlsx,Quantitative,Mechanical,Formula,595,563,0.946218487394958,high,1,1,1,1.0,0.16806722689075632,1,
enron_event_04,4,1,,workbooks/converted/03.xlsx,Quantitative,Mechanical,Formula,595,563,0.946218487394958,high,20,18,18,1.0,0.16806722689075632,1,
enron_event_05,5,1,,workbooks/converted/04.xlsx,Quantitative,Mechanical,Formula,199,199,1.0,high,1,1,1,1.0,0.5025125628140703,1,
enron_event_06,6,1,,workbooks/converted/05.xlsx,Quantitative,Mechanical,Formula,681,681,1.0,high,1,1,1,1.0,0.14684287812041116,1,
enron_event_07,7,1,,workbooks/converted/06.xlsx,Quantitative,Logical,Formula,288,224,0.7777777777777778,medium,1,1,1,1.0,0.3472222222222222,1,
enron_event_08,8,1,,workbooks/converted/07.xlsx,Quantitative,Logical,Formula,3016,2294,0.7606100795755968,medium,1,1,1,1.0,0.033156498673740056,1,
enron_event_09,9,1,,workbooks/converted/08.xlsx,Quantitative,Mechanical,Formula,39,39,1.0,high,1,1,1,1.0,1.0,1,
enron_event_10,10,1,,workbooks/converted/09.xlsx,Quantitative,Mechanical,Formula,5156,5156,1.0,high,1,1,1,1.0,0.019394879751745538,1,
enron_event_11,11,1,,workbooks/converted/10.xlsx,Quantitative,Mechanical,Formula,14,14,1.0,high,1,1,1,1.0,1.0,1,
enron_event_12,12,1,,workbooks/converted/11.xlsx,Quantitative,Logical,Formula,120,120,1.0,high,1,1,1,1.0,0.8333333333333334,1,
enron_event_13,13,1,,workbooks/converted/12.xlsx,Quantitative,Omission,Formula,2385,2385,1.0,high,337,191,191,1.0,0.041928721174004195,1,
enron_event_14,14,1,,workbooks/converted/13.xlsx,Quantitative,Logical,Formula,8,8,1.0,high,1,1,1,1.0,1.0,1,
enron_event_15,15,1,,workbooks/converted/13.xlsx,Quantitative,Logical,Formula,8,8,1.0,high,1,1,1,1.0,1.0,1,
enron_event_16,16,1,,workbooks/converted/13.xlsx,Quantitative,Omission,Formula,8,8,1.0,high,1,1,1,1.0,1.0,1,
enron_event_17,17,0,outside_scope_cell_type:Label,,Qualitative,,Label,0,0,0.0,not_evaluated,0,0,0,0.0,0.0,0,outside_scope_cell_type:Label
enron_event_18,18,0,outside_scope_cell_type:Value,,Quantitative,Mechanical,Value,0,0,0.0,not_evaluated,0,0,0,0.0,0.0,0,outside_scope_cell_type:Value
enron_event_19,19,1,,workbooks/converted/16.xlsx,Quantitative,Omission,Formula,149,149,1.0,high,42,42,42,1.0,0.6711409395973155,1,
enron_event_20,20,0,outside_scope_cell_type:Value,workbooks/converted/16.xlsx,Quantitative,Omission,Value,0,0,0.0,not_evaluated,0,0,0,0.0,0.0,0,outside_scope_cell_type:Value
enron_event_21,21,0,faulty_workbook_not_available,,Quantitative,Logical,Formula,0,0,0.0,not_evaluated,0,0,0,0.0,0.0,0,faulty_workbook_not_available
enron_event_22,22,1,,workbooks/converted/18.xlsx,Quantitative,Logical,Formula,84,84,1.0,high,6,6,6,1.0,1.0,1,
enron_event_23,23,1,,workbooks/converted/19.xlsx,Quantitative,Mechanical,Formula,316,316,1.0,high,24,24,24,1.0,0.31645569620253167,1,
