"instance_id","error_event","spreadsheet_number","workbook","source_cell","source_cells","labeled_cell_count","correct_formula","include","exclusion_reason","error_type","error_subtype","cell_type","change","error_description","faulty_spreadsheet_name","faulty_worksheet","faulty_cells_overview","mapping_note"
"enron_event_01","1","1","workbooks/converted/01.xlsx","","Sheet1!F28;Sheet1!G28","2","","1","","Quantitative","Mechanical","Formula","Inserted","Range error","2_HPLN0601.xls","Sheet1","F28:G28",""
"enron_event_02","2","2","workbooks/converted/02.xlsx","Sheet1!I34","Sheet1!I34","1","","1","","Quantitative","Mechanical","Formula","Fixed","Range error","1_Southpoint Gas Model.xls","Sheet1","I34",""
"enron_event_11","11","10","workbooks/converted/10.xlsx","EPSunDevil!F10","EPSunDevil!F10","1","","1","","Quantitative","Mechanical","Formula","Fixed","Wrong reference","1_SunDevil01CostSummary.xls","EPSunDevil","F10",""
"enron_event_14","14","13","workbooks/converted/13.xlsx","Sheet1!H33","Sheet1!H33","1","","1","","Quantitative","Logical","Formula","Fixed","Wrong calculation","1_Agro Case Question 3--Jeff.xls","Sheet1","H33",""
"enron_event_15","15","13","workbooks/converted/13.xlsx","Sheet1!I35","Sheet1!I35","1","","1","","Quantitative","Logical","Formula","Fixed","Wrong calculation","1_Agro Case Question 3--Jeff.xls","Sheet1","I35",""
"enron_event_16","16","13","workbooks/converted/13.xlsx","Sheet1!I38","Sheet1!I38","1","","1","","Quantitative","Omission","Formula","Fixed","Wrong calculation","1_Agro Case Question 3--Jeff.xls","Sheet1","I38",""
"enron_event_26","26","22","workbooks/converted/22.xlsx","Sheet1!C7","Sheet1!C7","1","","1","","Qualitative","","Formula","Fixed","File reference not working","1_ENA-Cal Dec Liq.xls","Sheet1","C7",""
"enron_event_33","33","28","workbooks/converted/28.xlsx","","Sheet1!I25;Sheet1!I26;Sheet1!I27;Sheet1!I28;Sheet1!I29;Sheet1!I30;Sheet1!I31","7","","1","","Quantitative","Mechanical","Formula","Fixed","Wrong reference","1_Southpoint Gas Model.xls","Sheet1","I25:I31",""
"enron_event_34","34","28","workbooks/converted/28.xlsx","","Sheet1!G33;Sheet1!I34","2","","1","","Qualitative","","Formula","Unchanged","Range error","1_Southpoint Gas Model.xls","Sheet1","G33; I34",""
"enron_event_35","35","29","workbooks/converted/29.xlsx","Sheet1!F8","Sheet1!F8","1","","1","","Qualitative","","Formula","Unchanged","Formula: = SUM(D8*E8)","1_EI365reveff060800.xls","Sheet1","F8",""
