case_id,condition,scenario,workbook
sgv2_singleton_01,singleton,retail_sales,public/workbooks/sgv2_singleton_01.xlsx
sgv2_clean_01,clean,retail_sales,public/workbooks/sgv2_clean_01.xlsx
sgv2_coherent_block_01,coherent_block,retail_sales,public/workbooks/sgv2_coherent_block_01.xlsx
sgv2_systematic_column_01,systematic_column,retail_sales,public/workbooks/sgv2_systematic_column_01.xlsx
sgv2_singleton_02,singleton,inventory,public/workbooks/sgv2_singleton_02.xlsx
sgv2_clean_02,clean,inventory,public/workbooks/sgv2_clean_02.xlsx
sgv2_coherent_block_02,coherent_block,inventory,public/workbooks/sgv2_coherent_block_02.xlsx
sgv2_systematic_column_02,systematic_column,inventory,public/workbooks/sgv2_systematic_column_02.xlsx
sgv2_singleton_03,singleton,project_budget,public/workbooks/sgv2_singleton_03.xlsx
sgv2_clean_03,clean,project_budget,public/workbooks/sgv2_clean_03.xlsx
sgv2_coherent_block_03,coherent_block,project_budget,public/workbooks/sgv2_coherent_block_03.xlsx
sgv2_systematic_column_03,systematic_column,project_budget,public/workbooks/sgv2_systematic_column_03.xlsx
sgv2_singleton_04,singleton,student_grades,public/workbooks/sgv2_singleton_04.xlsx
sgv2_clean_04,clean,student_grades,public/workbooks/sgv2_clean_04.xlsx
sgv2_coherent_block_04,coherent_block,student_grades,public/workbooks/sgv2_coherent_block_04.xlsx
sgv2_systematic_column_04,systematic_column,student_grades,public/workbooks/sgv2_systematic_column_04.xlsx
sgv2_singleton_05,singleton,saas_revenue,public/workbooks/sgv2_singleton_05.xlsx
sgv2_clean_05,clean,saas_revenue,public/workbooks/sgv2_clean_05.xlsx
sgv2_coherent_block_05,coherent_block,saas_revenue,public/workbooks/sgv2_coherent_block_05.xlsx
sgv2_systematic_column_05,systematic_column,saas_revenue,public/workbooks/sgv2_systematic_column_05.xlsx
