instance_id,workbook,source_cell,correct_formula,error_type,error_subtype,expected_depth,actual_depth,depth_bin,template_family,source_instance_id,data_role,intended_v4_stratum
v52_red_001,stress_workbooks/ordinary_M1_reference_shift_shallow.xlsx,Model!V6,=A6*2,M1_reference_shift,ordinary_single_error_control,shallow,0,shallow,v52_ordinary_control,ordinary_M1_reference_shift_shallow,purpose_built_development_redteam,top5
v52_red_002,stress_workbooks/stress_M1_reference_shift_shallow.xlsx,Model!V6,=A6*2,M1_reference_shift,correct_exception_decoy_stress,shallow,0,shallow,v52_structural_exception_stress,stress_M1_reference_shift_shallow,purpose_built_development_redteam,below5
v52_red_003,stress_workbooks/ordinary_M1_reference_shift_medium.xlsx,Model!V6,=A6*2,M1_reference_shift,ordinary_single_error_control,medium,2,medium,v52_ordinary_control,ordinary_M1_reference_shift_medium,purpose_built_development_redteam,top5
v52_red_004,stress_workbooks/stress_M1_reference_shift_medium.xlsx,Model!V6,=A6*2,M1_reference_shift,correct_exception_decoy_stress,medium,2,medium,v52_structural_exception_stress,stress_M1_reference_shift_medium,purpose_built_development_redteam,below5
v52_red_005,stress_workbooks/ordinary_M1_reference_shift_deep.xlsx,Model!V6,=A6*2,M1_reference_shift,ordinary_single_error_control,deep,5,deep,v52_ordinary_control,ordinary_M1_reference_shift_deep,purpose_built_development_redteam,top5
v52_red_006,stress_workbooks/stress_M1_reference_shift_deep.xlsx,Model!V6,=A6*2,M1_reference_shift,correct_exception_decoy_stress,deep,5,deep,v52_structural_exception_stress,stress_M1_reference_shift_deep,purpose_built_development_redteam,below5
v52_red_007,stress_workbooks/ordinary_M2_range_boundary_shallow.xlsx,Model!V6,=SUM(A6:A7),M2_range_boundary,ordinary_single_error_control,shallow,0,shallow,v52_ordinary_control,ordinary_M2_range_boundary_shallow,purpose_built_development_redteam,top5
v52_red_008,stress_workbooks/stress_M2_range_boundary_shallow.xlsx,Model!V6,=SUM(A6:A7),M2_range_boundary,correct_exception_decoy_stress,shallow,0,shallow,v52_structural_exception_stress,stress_M2_range_boundary_shallow,purpose_built_development_redteam,below5
v52_red_009,stress_workbooks/ordinary_M2_range_boundary_medium.xlsx,Model!V6,=SUM(A6:A7),M2_range_boundary,ordinary_single_error_control,medium,2,medium,v52_ordinary_control,ordinary_M2_range_boundary_medium,purpose_built_development_redteam,top5
v52_red_010,stress_workbooks/stress_M2_range_boundary_medium.xlsx,Model!V6,=SUM(A6:A7),M2_range_boundary,correct_exception_decoy_stress,medium,2,medium,v52_structural_exception_stress,stress_M2_range_boundary_medium,purpose_built_development_redteam,below5
